,id,show_id,type,director,full_name,title,release_year,description,category,won
2,279,80201906,Movie,Ryan Coogler,Chadwick Boseman,Black Panther,2018,"T'Challa, the superpowered new leader of the hidden, highly advanced African nation of Wakanda, strives to protect his home from enemies old and new.",CAST IN A MOTION PICTURE,True
21,280,80201906,Movie,Ryan Coogler,Michael B. Jordan,Black Panther,2018,"T'Challa, the superpowered new leader of the hidden, highly advanced African nation of Wakanda, strives to protect his home from enemies old and new.",CAST IN A MOTION PICTURE,True
39,282,80201906,Movie,Ryan Coogler,Danai Gurira,Black Panther,2018,"T'Challa, the superpowered new leader of the hidden, highly advanced African nation of Wakanda, strives to protect his home from enemies old and new.",CAST IN A MOTION PICTURE,True
56,283,80201906,Movie,Ryan Coogler,Martin Freeman,Black Panther,2018,"T'Challa, the superpowered new leader of the hidden, highly advanced African nation of Wakanda, strives to protect his home from enemies old and new.",CAST IN A MOTION PICTURE,True
64,284,80201906,Movie,Ryan Coogler,Daniel Kaluuya,Black Panther,2018,"T'Challa, the superpowered new leader of the hidden, highly advanced African nation of Wakanda, strives to protect his home from enemies old and new.",CAST IN A MOTION PICTURE,True
78,285,80201906,Movie,Ryan Coogler,Letitia Wright,Black Panther,2018,"T'Challa, the superpowered new leader of the hidden, highly advanced African nation of Wakanda, strives to protect his home from enemies old and new.",CAST IN A MOTION PICTURE,True
95,286,80201906,Movie,Ryan Coogler,Winston Duke,Black Panther,2018,"T'Challa, the superpowered new leader of the hidden, highly advanced African nation of Wakanda, strives to protect his home from enemies old and new.",CAST IN A MOTION PICTURE,True
106,287,80201906,Movie,Ryan Coogler,Sterling K. Brown,Black Panther,2018,"T'Challa, the superpowered new leader of the hidden, highly advanced African nation of Wakanda, strives to protect his home from enemies old and new.",CAST IN A MOTION PICTURE,True
109,288,80201906,Movie,Ryan Coogler,Angela Bassett,Black Panther,2018,"T'Challa, the superpowered new leader of the hidden, highly advanced African nation of Wakanda, strives to protect his home from enemies old and new.",CAST IN A MOTION PICTURE,True
132,290,80201906,Movie,Ryan Coogler,Andy Serkis,Black Panther,2018,"T'Challa, the superpowered new leader of the hidden, highly advanced African nation of Wakanda, strives to protect his home from enemies old and new.",CAST IN A MOTION PICTURE,True
206,1384,60031232,Movie,Clint Eastwood,Sean Penn,Mystic River,2003,"Tragedy reunites childhood friends Sean, Dave and Jimmy when they're linked together in a murder investigation about Jimmy's teenage daughter.",CAST IN A MOTION PICTURE,False
208,1384,60031232,Movie,Clint Eastwood,Sean Penn,Mystic River,2003,"Tragedy reunites childhood friends Sean, Dave and Jimmy when they're linked together in a murder investigation about Jimmy's teenage daughter.",MALE LEAD ROLE,False
215,1385,60031232,Movie,Clint Eastwood,Tim Robbins,Mystic River,2003,"Tragedy reunites childhood friends Sean, Dave and Jimmy when they're linked together in a murder investigation about Jimmy's teenage daughter.",CAST IN A MOTION PICTURE,False
217,1385,60031232,Movie,Clint Eastwood,Tim Robbins,Mystic River,2003,"Tragedy reunites childhood friends Sean, Dave and Jimmy when they're linked together in a murder investigation about Jimmy's teenage daughter.",MALE SUPPORTING ROLE,True
218,1386,60031232,Movie,Clint Eastwood,Kevin Bacon,Mystic River,2003,"Tragedy reunites childhood friends Sean, Dave and Jimmy when they're linked together in a murder investigation about Jimmy's teenage daughter.",CAST IN A MOTION PICTURE,False
228,1387,60031232,Movie,Clint Eastwood,Laurence Fishburne,Mystic River,2003,"Tragedy reunites childhood friends Sean, Dave and Jimmy when they're linked together in a murder investigation about Jimmy's teenage daughter.",CAST IN A MOTION PICTURE,False
237,1388,60031232,Movie,Clint Eastwood,Marcia Gay Harden,Mystic River,2003,"Tragedy reunites childhood friends Sean, Dave and Jimmy when they're linked together in a murder investigation about Jimmy's teenage daughter.",CAST IN A MOTION PICTURE,False
243,1389,60031232,Movie,Clint Eastwood,Laura Linney,Mystic River,2003,"Tragedy reunites childhood friends Sean, Dave and Jimmy when they're linked together in a murder investigation about Jimmy's teenage daughter.",CAST IN A MOTION PICTURE,False
282,1444,70105368,Movie,Jonathan Demme,Anne Hathaway,Rachel Getting Married,2008,Longstanding family conflicts resurface when a former model who's been in and out of rehab for a decade returns home for her sister's wedding.,FEMALE LEAD ROLE,False
293,1712,17672040,Movie,Curtis Hanson,Meryl Streep,The River Wild,1994,"A turbulent vacation turns deadly when a fugitive and his crew kidnap a river rafting guide and her family, forcing them down the dangerous river.",FEMALE LEAD ROLE,False
303,3205,80044545,Movie,Cary Joji Fukunaga,Idris Elba,Beasts Of No Nation,2015,"When civil war tears his family apart, a young West African boy is forced to join a unit of mercenary fighters and transform into a child soldier.",CAST IN A MOTION PICTURE,False
305,3205,80044545,Movie,Cary Joji Fukunaga,Idris Elba,Beasts Of No Nation,2015,"When civil war tears his family apart, a young West African boy is forced to join a unit of mercenary fighters and transform into a child soldier.",MALE SUPPORT,True
306,3206,80044545,Movie,Cary Joji Fukunaga,Abraham Attah,Beasts Of No Nation,2015,"When civil war tears his family apart, a young West African boy is forced to join a unit of mercenary fighters and transform into a child soldier.",CAST IN A MOTION PICTURE,False
312,3207,80044545,Movie,Cary Joji Fukunaga,Kurt Egyiawan,Beasts Of No Nation,2015,"When civil war tears his family apart, a young West African boy is forced to join a unit of mercenary fighters and transform into a child soldier.",CAST IN A MOTION PICTURE,False
345,3829,70023961,Movie,Paul Haggis,Sandra Bullock,Crash,2004,"In post-Sept. 11 Los Angeles, tensions erupt when the lives of people from all walks of life converge during a 36-hour period.",CAST IN A MOTION PICTURE,True
353,3830,70023961,Movie,Paul Haggis,Don Cheadle,Crash,2004,"In post-Sept. 11 Los Angeles, tensions erupt when the lives of people from all walks of life converge during a 36-hour period.",CAST IN A MOTION PICTURE,True
362,3830,70023961,Movie,Paul Haggis,Don Cheadle,Crash,2004,"In post-Sept. 11 Los Angeles, tensions erupt when the lives of people from all walks of life converge during a 36-hour period.",MALE SUPPORTING ROLE,False
