full_name,title,release_year,category,won
Chadwick Boseman,Black Panther,2018,CAST IN A MOTION PICTURE,TRUE
Sean Penn,Mystic River,2003,MALE LEAD ROLE,FALSE
Sean Penn,Mystic River,2003,CAST IN A MOTION PICTURE,FALSE
Anne Hathaway,Rachel Getting Married,2008,FEMALE LEAD ROLE,FALSE
Meryl Streep,The River Wild,1994,FEMALE LEAD ROLE,FALSE
Idris Elba,Beasts Of No Nation,2015,MALE SUPPORTING ROLE,TRUE
Idris Elba,Beasts Of No Nation,2015,MALE SUPPORTING ROLE,TRUE
Idris Elba,Beasts Of No Nation,2015,CAST IN A MOTION PICTURE,FALSE
Sandra Bullock,Crash,2004,CAST IN A MOTION PICTURE,TRUE
Al Pacino,The Irishman,2019,MALE SUPPORTING ROLE,FALSE
Jason Clarke,Mudbound,2017,CAST IN A MOTION PICTURE,FALSE
Colin Firth,A Single Man,2009,MALE LEAD ROLE,FALSE
Eileen Atkins,Gosford Park,2001,CAST IN A MOTION PICTURE,TRUE
Morgan Freeman,Invictus,2009,MALE LEAD ROLE,FALSE
Kate Winslet,Revolutionary Road,2008,FEMALE LEAD ROLE,FALSE
Billy Bob Thornton,Sling Blade,1996,MALE LEAD ROLE,FALSE
Billy Bob Thornton,Sling Blade,1996,CAST IN A MOTION PICTURE,FALSE
Michelle Williams,My Week With Marilyn,2011,FEMALE LEAD ROLE,FALSE
Trevante Rhodes,Moonlight,2016,CAST IN A MOTION PICTURE,FALSE
Cate Blanchett,Blue Jasmine,2013,FEMALE LEAD ROLE,TRUE
Emma Thompson,Saving Mr. Banks,2013,FEMALE LEAD ROLE,FALSE
Jennifer Lawrence,Winter'S Bone,2010,FEMALE LEAD ROLE,FALSE
Emily Blunt,Mary Poppins Returns,2018,FEMALE LEAD ROLE,FALSE
Brad Pitt,Inglourious Basterds,2009,CAST IN A MOTION PICTURE,TRUE
Brie Larson,Room,2015,FEMALE LEAD ROLE,TRUE
Melissa Leo,Frozen River,2008,FEMALE LEAD ROLE,FALSE
Matthew Mcconaughey,Dallas Buyers Club,2013,MALE LEAD ROLE,TRUE
Matthew Mcconaughey,Dallas Buyers Club,2013,CAST IN A MOTION PICTURE,FALSE
Mark Wahlberg,The Fighter,2010,CAST IN A MOTION PICTURE,FALSE
Kevin Spacey,American Beauty,1999,MALE LEAD ROLE,TRUE
Kevin Spacey,American Beauty,1999,CAST IN A MOTION PICTURE,TRUE
Jack Nicholson,As Good As It Gets,1997,MALE LEAD ROLE,TRUE
Christopher Walken,Catch Me If You Can,2002,MALE SUPPORTING ROLE,TRUE
Nikki Blonsky,Hairspray,2007,CAST IN A MOTION PICTURE,FALSE
Jeremy Blackman,Magnolia,1999,CAST IN A MOTION PICTURE,FALSE
George Clooney,Up In The Air,2009,MALE LEAD ROLE,FALSE
Jeff Bridges,Hell Or High Water,2016,MALE SUPPORTING ROLE,FALSE
Daniel Day-Lewis,Lincoln,2012,MALE LEAD ROLE,TRUE
Daniel Day-Lewis,Lincoln,2012,CAST IN A MOTION PICTURE,FALSE
Jamie Bell,Billy Elliot,2000,MALE LEAD ROLE,FALSE
Jamie Bell,Billy Elliot,2000,CAST IN A MOTION PICTURE,FALSE
Scarlett Johansson,Marriage Story,2019,FEMALE LEAD ROLE,FALSE
Bill Murray,A Very Murray Christmas,2015,MALE TV MOVIE OR MINISERIES,FALSE
Eddie Redmayne,The Danish Girl,2015,MALE LEAD ROLE,FALSE
Leonardo Dicaprio,The Departed,2006,MALE SUPPORTING ROLE,FALSE
Leonardo Dicaprio,The Departed,2006,CAST IN A MOTION PICTURE,FALSE
Pam Grier,Jackie Brown,1997,FEMALE LEAD ROLE,FALSE
Diane Keaton,Something'S Gotta Give,2003,FEMALE LEAD ROLE,FALSE
Winona Ryder,How To Make An American Quilt,1995,CAST IN A MOTION PICTURE,FALSE
