full_name,count
Idris Elba,3
Kevin Spacey,2
Sean Penn,2
Matthew Mcconaughey,2
Leonardo Dicaprio,2
Billy Bob Thornton,2
Jamie Bell,2
Daniel Day-Lewis,2
Eddie Redmayne,1
Anne Hathaway,1
Jeff Bridges,1
Nikki Blonsky,1
Brie Larson,1
Jack Nicholson,1
Colin Firth,1
Scarlett Johansson,1
Emily Blunt,1
Michelle Williams,1
Emma Thompson,1
Diane Keaton,1
Jennifer Lawrence,1
Trevante Rhodes,1
Mark Wahlberg,1
Cate Blanchett,1
Pam Grier,1
Brad Pitt,1
Melissa Leo,1
Sandra Bullock,1
Winona Ryder,1
Al Pacino,1
Eileen Atkins,1
Meryl Streep,1
Christopher Walken,1
Kate Winslet,1
Jason Clarke,1
Jeremy Blackman,1
Morgan Freeman,1
Chadwick Boseman,1
Bill Murray,1
George Clooney,1
