directors_names,count
Nancy Meyers,1
Lenny Abrahamson,1
Courtney Hunt,1
Nora Ephron,1
Jason Reitman,1
Stephen Daldry,1
Gus Van Sant,1
Curtis Hanson,1
Billy Bob Thornton,1
John Lee Hancock,1
Alejandro G. Iñárritu,1
Barry Jenkins,1
James L. Brooks,1
Phil Morrison,1
Woody Allen,1
Adam Shankman,1
Simon Curtis,1
Craig Brewer,1
Danny Boyle,1
Tom Hooper,1
Paul Thomas Anderson,1
Jocelyn Moorhouse,1
David O. Russell,1
Steven Spielberg,1
Robert Altman,1
Clint Eastwood,1
Quentin Tarantino,1
Phyllida Lloyd,1
Sofia Coppola,1
Jonathan Demme,1
Jean-Marc Vallée,1
Martin Scorsese,1
John Patrick Shanley,1
Debra Granik,1
Dee Rees,1
Ryan Coogler,1
Sam Mendes,1
James Marsh,1
Paul Haggis,1
Noah Baumbach,1
Tom Ford,1
David Mackenzie,1
Cary Joji Fukunaga,1
Rob Marshall,1
